2025-11-04 00:13:39.843 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:381ms 登录成功
2025-11-04 00:13:39.936 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-11-04 00:13:39.975 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:6ms 获取用户信息成功
2025-11-04 00:13:40.230 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:69ms 获取对话历史成功
2025-11-04 00:13:43.843 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2025-11-04 00:13:45.022 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_ORG_TAGS] 耗时:28ms 获取组织标签成功
2025-11-04 00:13:48.928 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-11-04 00:14:14.907 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:7ms 获取用户信息成功
2025-11-04 00:14:15.430 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:23ms 获取用户上传文件成功
2025-11-04 00:14:25.652 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-11-04 00:14:27.163 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2025-11-04 00:14:27.608 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:31ms 管理员查询对话历史成功
2025-11-04 00:14:34.813 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2025-11-04 00:14:35.130 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:5ms 获取对话历史成功
2025-11-04 00:14:37.604 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2025-11-04 00:14:37.912 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_ORG_TAGS] 耗时:14ms 获取组织标签成功
2025-11-04 00:14:43.719 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-11-04 00:15:17.991 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2025-11-04 00:15:18.274 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:13ms 管理员查询对话历史成功
2025-11-04 00:15:19.574 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-11-04 00:15:19.914 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:9ms 获取对话历史成功
2025-11-04 00:16:27.796 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2025-11-04 00:16:27.956 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_ORG_TAGS] 耗时:18ms 获取组织标签成功
2025-11-04 00:16:47.300 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-11-04 00:16:57.588 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2025-11-04 00:16:57.883 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_ORG_TAGS] 耗时:7ms 获取组织标签成功
2025-11-04 00:17:44.453 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-11-04 00:17:50.207 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:6ms 获取用户信息成功
2025-11-04 00:17:50.516 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_ORG_TAGS] 耗时:9ms 获取组织标签成功
2025-11-04 00:17:55.449 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2025-11-04 00:22:39.590 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2025-11-04 00:22:39.799 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_ORG_TAGS] 耗时:6ms 获取组织标签成功
2025-11-04 00:23:00.207 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2025-11-04 00:25:46.084 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2025-11-04 00:26:37.683 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-11-04 00:26:37.910 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_ORG_TAGS] 耗时:6ms 获取组织标签成功
2025-11-04 00:26:43.299 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [SET_PRIMARY_ORG] 耗时:19ms 设置主组织成功
2025-11-04 00:26:43.338 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_ORG_TAGS] 耗时:16ms 获取组织标签成功
2025-11-04 00:27:12.300 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [SET_PRIMARY_ORG] 耗时:7ms 设置主组织成功
2025-11-04 00:27:12.331 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_ORG_TAGS] 耗时:10ms 获取组织标签成功
2025-11-04 00:30:18.574 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [SET_PRIMARY_ORG] 耗时:27ms 设置主组织成功
2025-11-04 00:30:18.642 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_ORG_TAGS] 耗时:5ms 获取组织标签成功
2025-11-04 00:45:45.975 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGOUT] 耗时:8ms 登出成功
2025-11-04 00:46:03.059 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:118ms 登录成功
2025-11-04 00:46:03.090 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:1ms 获取用户信息成功
2025-11-04 00:46:03.118 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:7ms 获取用户信息成功
2025-11-04 00:46:03.192 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_ORG_TAGS] 耗时:35ms 获取组织标签成功
2025-11-04 12:07:27.879 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:383ms 登录成功
2025-11-04 12:07:27.963 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-11-04 12:07:28.005 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-11-04 12:07:28.361 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:73ms 获取对话历史成功
